"Ctry","Yr","CO2"
"Saudi Arabia",1997,216.9547
"United Kingdom",1997,524.2352
"United States",1997,5538.4548
"Brazil",1998,303.6795
"Canada",1998,509.1664
"China",1998,3406.1909
"Germany",1998,877.808
"India",1998,913.3627
"Indonesia",1998,274.4075
"Iran",1998,305.236
"Japan",1998,1156.6075
"Korea, Rep. (South)",1998,374.026
"Mexico",1998,366.5744
"Russian Federation",1998,1429.5059
"Saudi Arabia",1998,231.9799
"United Kingdom",1998,528.8445
"United States",1998,5527.8655
"Brazil",1999,314.6126
"Canada",1999,518.6187
"China",1999,3325.5182
"Germany",1999,847.3952
"India",1999,981.0162
"Indonesia",1999,294.1188
"Iran",1999,332.9825
"Japan",1999,1195.8929
"Korea, Rep. (South)",1999,409.3455
"Mexico",1999,359.6393
"Russian Federation",1999,1470.3604
"Saudi Arabia",1999,236.2448
"United Kingdom",1999,526.1346
"United States",1999,5555.7168
"Brazil",2000,326.8958
"Canada",2000,539.2344
"China",2000,3607.5575
"Germany",2000,845.2038
"India",2000,1029.8078
"Indonesia",2000,295.4044
"Iran",2000,346.3101
"Japan",2000,1211.0103
"Korea, Rep. (South)",2000,463.2617
"Mexico",2000,376.2724
"Russian Federation",2000,1512.8636
"Saudi Arabia",2000,246.3221
"United Kingdom",2000,533.8217
"United States",2000,5747.8546
"Brazil",2001,332.995
"Canada",2001,530.506
"China",2001,3725.5473
"Germany",2001,861.7905
"India",2001,1048.1703
"Indonesia",2001,315.6949
"Iran",2001,357.3221
"Japan",2001,1194.5759
"Korea, Rep. (South)",2001,478.0038
"Mexico",2001,374.0975
"Russian Federation",2001,1515.6909
"Saudi Arabia",2001,251.9589
"United Kingdom",2001,546.1535
"United States",2001,5728.176
"Brazil",2002,331.49
"Canada",2002,537.0622
"China",2002,3966.6604
"Germany",2002,848.6514
"India",2002,1084.5234
"Indonesia",2002,322.4612
"Iran",2002,375.3693
"Japan",2002,1228.8536
"Korea, Rep. (South)",2002,473.7932
"Mexico",2002,379.3731
"Russian Federation",2002,1514.7774
"Saudi Arabia",2002,268.9526
"United Kingdom",2002,530.6608
"United States",2002,5656.2335
"Brazil",2003,322.7236
"Canada",2003,559.4443
"China",2003,4606.2084
"Germany",2003,850.0269
"India",2003,1115.4326
"Indonesia",2003,351.7875
"Iran",2003,397.7373
"Japan",2003,1234.4257
"Korea, Rep. (South)",2003,479.171
"Mexico",2003,385.6873
"Russian Federation",2003,1547.9598
"Saudi Arabia",2003,280.171
"United Kingdom",2003,542.6794
"United States",2003,5733.5668
"Brazil",2004,340.5358
"Canada",2004,553.7458
"China",2004,5320.6349
"Germany",2004,833.5953
"India",2004,1200.1972
"Indonesia",2004,355.7678
"Iran",2004,428.2456
"Japan",2004,1234.6532
"Korea, Rep. (South)",2004,498.2013
"Mexico",2004,389.2583
"Russian Federation",2004,1556.9974
"Saudi Arabia",2004,296.9786
"United Kingdom",2004,543.62
"United States",2004,5820.2978
"Brazil",2005,346.5112
"Canada",2005,559.6163
"China",2005,5935.7037
"Germany",2005,817.2373
"India",2005,1265.2419
"Indonesia",2005,360.9512
"Iran",2005,459.9419
"Japan",2005,1242.7881
"Korea, Rep. (South)",2005,494.7277
"Mexico",2005,407.7915
"Russian Federation",2005,1562.6682
"Saudi Arabia",2005,312.6536
"United Kingdom",2005,541.5545
"United States",2005,5830.4835
"Brazil",2006,352.1808
"Canada",2006,551.2984
"China",2006,6529.7785
"Germany",2006,830.6691
"India",2006,1364.5367
"Indonesia",2006,377.2755
"Iran",2006,501.707
"Japan",2006,1227.932
"Korea, Rep. (South)",2006,503.5838
"Mexico",2006,420.0993
"Russian Federation",2006,1621.6612
"Saudi Arabia",2006,329.8377
"United Kingdom",2006,543.2663
"United States",2006,5741.3823
"Brazil",2007,369.3556
"Canada",2007,580.3332
"China",2007,6994.716
"Germany",2007,798.0301
"India",2007,1490.4657
"Indonesia",2007,390.6988
"Iran",2007,537.6387
"Japan",2007,1262.7471
"Korea, Rep. (South)",2007,516.4334
"Mexico",2007,439.4906
"Russian Federation",2007,1626.3681
"Saudi Arabia",2007,347.707
"United Kingdom",2007,530.0209
"United States",2007,5818.1865
"Brazil",2008,391.9075
"Canada",2008,564.2874
"China",2008,7187.6056
"Germany",2008,804.9135
"India",2008,1577.4603
"Indonesia",2008,385.4127
"Iran",2008,550.6606
"Japan",2008,1174.5979
"Korea, Rep. (South)",2008,527.5096
"Mexico",2008,446.7747
"Russian Federation",2008,1647.6993
"Saudi Arabia",2008,377.3578
"United Kingdom",2008,509.8235
"United States",2008,5638.2693
"Brazil",2009,370.3887
"Canada",2009,528.2556
"China",2009,7612.1518
"Germany",2009,747.5107
"India",2009,1779.4282
"Indonesia",2009,399.4105
"Iran",2009,569.1721
"Japan",2009,1112.5478
"Korea, Rep. (South)",2009,540.5975
"Mexico",2009,430.0009
"Russian Federation",2009,1535.1824
"Saudi Arabia",2009,396.7981
"United Kingdom",2009,461.8368
"United States",2009,5224.0551
"Brazil",2010,422.4304
"Canada",2010,540.3461
"China",2010,8159.6833
"Germany",2010,786.4636
"India",2010,1860.7368
"Indonesia",2010,416.3047
"Iran",2010,566.3199
"Japan",2010,1159.7273
"Korea, Rep. (South)",2010,588.0991
"Mexico",2010,443.0186
"Russian Federation",2010,1636.502
"Saudi Arabia",2010,435.929
"United Kingdom",2010,478.9023
"United States",2010,5469.9155
"Brazil",2011,443.1584
"Canada",2011,545.6601
"China",2011,9000.7301
"Germany",2011,760.6978
"India",2011,1950.061
"Indonesia",2011,424.8012
"Iran",2011,586.7383
"Japan",2011,1208.9501
"Korea, Rep. (South)",2011,613.9988
"Mexico",2011,456.8893
"Russian Federation",2011,1712.8704
"Saudi Arabia",2011,453.8581
"United Kingdom",2011,441.9302
"United States",2011,5334.3187
"Brazil",2012,477.7701
"Canada",2012,543.0242
"China",2012,9312.5329
"Germany",2012,773.9585
"India",2012,2075.1808
"Indonesia",2012,456.0512
"Iran",2012,593.8195
"Japan",2012,1249.2135
"Korea, Rep. (South)",2012,617.2418
"Mexico",2012,460.4782
"Russian Federation",2012,1721.5376
"Saudi Arabia",2012,480.2278
"United Kingdom",2012,463.4556
"United States",2012,5122.9094
