"diameter","storm","status"
14,0.633624,"fallen"
19,0.638334,"fallen"
20,0.638334,"fallen"
9,0.639188,"standing"
16,0.639582,"fallen"
7,0.641339,"fallen"
17,0.641339,"fallen"
20,0.647292,"fallen"
19,0.651572,"fallen"
6,0.653384,"standing"
8,0.653384,"standing"
9,0.653722,"fallen"
16,0.655967,"fallen"
7,0.655979,"standing"
6,0.655979,"standing"
5,0.655979,"standing"
15,0.657143,"fallen"
18,0.660175,"fallen"
8,0.662489,"standing"
15,0.662489,"fallen"
10,0.662489,"standing"
12,0.669579,"fallen"
11,0.670223,"fallen"
12,0.671354,"fallen"
16,0.676434,"fallen"
14,0.676434,"fallen"
9.5,0.677028,"fallen"
23,0.677028,"standing"
11,0.681727,"standing"
15,0.682017,"fallen"
12,0.683177,"fallen"
9,0.684129,"standing"
10,0.684129,"standing"
7,0.684129,"standing"
8.5,0.684129,"fallen"
10,0.684995,"fallen"
16,0.692772,"fallen"
6,0.697166,"standing"
18,0.698172,"fallen"
13,0.699792,"fallen"
10,0.699792,"fallen"
6,0.700325,"standing"
13,0.700325,"fallen"
6,0.701091,"standing"
5,0.705846,"standing"
5,0.705846,"standing"
5,0.705846,"standing"
10.5,0.707828,"fallen"
18,0.707828,"fallen"
8,0.712619,"standing"
16,0.716054,"fallen"
9,0.716054,"fallen"
5.5,0.717459,"standing"
12,0.718929,"standing"
10,0.718929,"fallen"
11,0.718929,"fallen"
18,0.726563,"fallen"
12,0.726563,"fallen"
10,0.730738,"fallen"
10,0.735708,"fallen"
11,0.73741,"fallen"
9,0.739292,"fallen"
7,0.751591,"standing"
6,0.751591,"standing"
7,0.751974,"fallen"
22.5,0.751974,"fallen"
19,0.751974,"fallen"
9,0.757207,"fallen"
16,0.759117,"fallen"
18,0.76546,"fallen"
10,0.766252,"standing"
8,0.766848,"standing"
10.5,0.766848,"standing"
13,0.766848,"fallen"
6.5,0.766848,"fallen"
14,0.778154,"fallen"
7,0.780663,"standing"
13,0.780663,"fallen"
13,0.780663,"fallen"
18,0.782438,"fallen"
5,0.790498,"standing"
10,0.790562,"fallen"
6,0.790562,"standing"
5,0.790562,"standing"
6,0.790562,"standing"
16,0.794325,"fallen"
32,0.795092,"fallen"
5,0.80799,"fallen"
9,0.80799,"fallen"
20,0.815376,"fallen"
11,0.830039,"fallen"
14,0.833468,"fallen"
27,0.833468,"fallen"
17,0.842422,"fallen"
12,0.842422,"fallen"
11,0.842878,"fallen"
11,0.842878,"fallen"
15,0.847198,"fallen"
15,0.847198,"fallen"
11,0.847198,"fallen"
14,0.849462,"fallen"
14,0.849462,"fallen"
20,0.849462,"fallen"
13,0.850571,"fallen"
11,0.850571,"fallen"
6,0.850571,"standing"
10,0.850571,"fallen"
18,0.85532,"fallen"
21,0.85532,"fallen"
5.5,0.859409,"fallen"
21,0.859409,"fallen"
16,0.862392,"fallen"
14,0.867016,"fallen"
5,0.939029,"standing"
9,0.944993,"fallen"
17,0.944993,"fallen"
8,0.983271,"fallen"
